carte,categorie,question,reponse,difficulte,theme
889,Sciences & Nature,"Quel oiseau effectue chaque année la plus longue migration connue, de l'Arctique à l'Antarctique ?",La sterne arctique,3,Oiseaux
889,Sports & Loisirs,"Quelle sauce émulsionnée au beurre, aux jaunes d'œufs, à l'échalote et à l'estragon accompagne les viandes grillées ?",La béarnaise,1,Vocabulaire culinaire
890,Géographie,Quelle ville de Louisiane est considérée comme le berceau du jazz ?,La Nouvelle-Orléans,1,Grandes villes
890,Divertissement,Quel cinéaste britannique a réalisé « Lawrence d'Arabie » (1962) et « Le Pont de la rivière Kwaï » (1957) ?,David Lean,3,Réalisateurs
890,Histoire,Quel révolutionnaire a dirigé la prise du pouvoir par les bolcheviks en octobre 1917 ?,Lénine,1,Révolution russe
890,Arts & Littérature,"Quel compositeur allemand a écrit en 1937 la cantate « Carmina Burana », qui s'ouvre sur « O Fortuna » ?",Carl Orff,2,Œuvres
890,Sciences & Nature,Comment appelle-t-on le côté opposé à l'angle droit dans un triangle rectangle ?,L'hypoténuse,1,Mathématiques
890,Sports & Loisirs,Quelle charcuterie corse est préparée à partir du filet de porc salé et séché ?,Le lonzu,3,Cuisine régionale
891,Géographie,Sur quelle place parisienne se dresse l'obélisque de Louxor ?,La place de la Concorde,1,Monuments
891,Divertissement,"Quelle chanteuse, révélée par « The Voice », a joué dans le film « La Famille Bélier » en 2014 ?",Louane,2,Célébrités de la chanson
891,Histoire,Quel navigateur portugais aborde les côtes du Brésil en 1500 ?,Pedro Álvares Cabral,2,Grandes découvertes
891,Arts & Littérature,Quel écrivain tchèque a créé le personnage du « Brave Soldat Chvéïk » ?,Jaroslav Hašek,3,Littérature d'Europe centrale
891,Sciences & Nature,Quel pigment vert des plantes capte l'énergie lumineuse ?,La chlorophylle,1,Cellule
891,Sports & Loisirs,"Quelle gymnaste roumaine a obtenu la première note parfaite de 10 de l'histoire olympique, à Montréal en 1976 ?",Nadia Comaneci,1,Champions olympiques
892,Géographie,"Quel archipel français se trouve au large de Terre-Neuve, au Canada ?",Saint-Pierre-et-Miquelon,1,Outre-mer
892,Divertissement,"Dans « Les Aventures de Rabbi Jacob » (1973), comment s'appelle l'industriel joué par Louis de Funès ?",Victor Pivert,3,Comédies françaises
892,Histoire,"Quel chevalier castillan du XIe siècle, Rodrigo Díaz de Vivar, est plus connu sous un surnom d'origine arabe ?",Le Cid,2,Péninsule ibérique et découvertes
892,Arts & Littérature,"Dans « Notre-Dame de Paris », comment s'appelle le sonneur de cloches bossu ?",Quasimodo,1,Personnages
892,Sciences & Nature,"Quel chirurgien français du XVIe siècle, qui servit plusieurs rois, est considéré comme le père de la chirurgie moderne ?",Ambroise Paré,2,Grands médecins
892,Sports & Loisirs,Quelle station suisse a accueilli les Jeux olympiques d'hiver en 1928 et en 1948 ?,Saint-Moritz,2,Villes olympiques
893,Géographie,"Quel lac artificiel, traversé par le canal de Panama, fut à sa création le plus grand lac artificiel du monde ?",Le lac Gatún,3,Détroits et canaux
893,Divertissement,Dans quel film Disney de 1989 une jeune sirène nommée Ariel rêve-t-elle de vivre parmi les humains ?,La Petite Sirène,1,Animation
893,Histoire,"Comment a-t-on appelé la route reliant Bar-le-Duc à Verdun, principale voie de ravitaillement du front en 1916 ?",La Voie sacrée,2,Première Guerre mondiale
893,Arts & Littérature,Quel roman d'Herman Melville raconte la traque d'une gigantesque baleine blanche ?,Moby Dick,1,Littérature américaine
893,Sciences & Nature,Combien de doigts compte chaque patte de l'autruche ?,Deux,3,Oiseaux
893,Sports & Loisirs,Combien de semaines de congés payés les salariés français ont-ils obtenues en 1936 ?,Deux,1,Voyages
894,Géographie,Quelle est la plus grande plaque tectonique du globe ?,La plaque pacifique,2,Plaques et séismes
894,Divertissement,Quel film de Jean-Jacques Annaud (1988) suit un ourson orphelin dans les montagnes canadiennes ?,L'Ours,2,Cinéma français
894,Histoire,Dans quelle ville d'Arabie est né le prophète Mahomet ?,La Mecque,1,Monde musulman médiéval
894,Arts & Littérature,"Quel architecte a conçu le Chrysler Building de New York, achevé en 1930 ?",William Van Alen,3,Architectes
894,Sciences & Nature,Quel matériau obtient-on en faisant fondre du sable siliceux à très haute température ?,Le verre,1,Chimie : matériaux
894,Sports & Loisirs,"Au polo, comment appelle-t-on chacune des périodes de jeu, d'environ sept minutes ?",Un chukka,3,Vocabulaire et règles
895,Géographie,Quel est le plus grand lac situé entièrement en Suisse ?,Le lac de Neuchâtel,3,Suisse
895,Divertissement,Quelle petite fée accompagne Peter Pan dans le dessin animé de Disney ?,La fée Clochette,1,Animation
895,Histoire,"Quel massacre de Sioux, en 1890, marque symboliquement la fin des guerres indiennes ?",Wounded Knee,2,États-Unis
895,Arts & Littérature,Quel artiste japonais a réalisé l'estampe « La Grande Vague de Kanagawa » ?,Hokusai,1,Estampes
895,Sciences & Nature,"Quelle protéine, la plus abondante du corps humain, assure la solidité de la peau, des tendons et des os ?",Le collagène,2,Peau et phanères
895,Sports & Loisirs,Dans quel pays s'est déroulé en 1974 le combat « Rumble in the Jungle » entre Mohamed Ali et George Foreman ?,Le Zaïre,2,Boxe
896,Géographie,Quel isthme de Thaïlande constitue la partie la plus étroite de la péninsule Malaise ?,L'isthme de Kra,3,Détroits et canaux
896,Divertissement,Quel ours en peluche descend d'un nuage pour souhaiter bonne nuit aux enfants dans « Bonne nuit les petits » ?,Nounours,1,Émissions jeunesse
896,Histoire,Comment s'appelait la procédure athénienne permettant d'exiler un citoyen par un vote sur des tessons de poterie ?,L'ostracisme,2,Grèce antique
896,Arts & Littérature,Quel dieu soleil égyptien traverse chaque jour le ciel à bord de sa barque ?,Rê (Râ),1,Mythologie égyptienne
896,Sciences & Nature,"Quel nom, emprunté à un titan de la mythologie, porte la première vertèbre cervicale qui soutient le crâne ?",L'atlas,2,Os et squelette
896,Sports & Loisirs,"Quel plat basque associe poivrons, tomates et oignons revenus, souvent servi avec des œufs ?",La piperade,2,Cuisine régionale
897,Géographie,Quel fleuve arrose Bordeaux ?,La Garonne,1,Fleuves et rivières
897,Divertissement,Quel psychiatre animateur de radio à Seattle est le héros d'une série dérivée de « Cheers » ?,Frasier Crane,3,Sitcoms
897,Histoire,Quelle dynastie de califes établit sa capitale à Damas de 661 à 750 ?,Les Omeyyades,2,Monde musulman médiéval
897,Arts & Littérature,Comment appelle-t-on un vers de douze syllabes ?,Un alexandrin,1,Versification
897,Sciences & Nature,De quels deux métaux le noyau terrestre est-il principalement composé ?,Le fer et le nickel,2,Géologie
897,Sports & Loisirs,"Quel organisme international, créé en 1999, coordonne la lutte contre le dopage dans le sport ?",L'Agence mondiale antidopage,2,Vocabulaire et règles
898,Géographie,"Quelle ville sainte de l'hindouisme, au bord du Gange, était appelée Bénarès ?",Varanasi,2,Asie
898,Divertissement,Quel est le nom civil de Spider-Man ?,Peter Parker,1,Comics
898,Histoire,Quels aviateurs français ont disparu en mai 1927 à bord de L'Oiseau blanc en tentant de rallier New York ?,Nungesser et Coli,3,Aviation
898,Arts & Littérature,Quel poète a publié le recueil « Les Fleurs du mal » ?,Charles Baudelaire,1,Poésie
898,Sciences & Nature,"Quel conifère toxique, souvent taillé dans les jardins à la française, peut vivre plus de mille ans ?",L'if,2,Arbres
898,Sports & Loisirs,"Quel céiste français a été sacré champion olympique de slalom en 2000, en 2004 et en 2012 ?",Tony Estanguet,2,Vocabulaire et règles
899,Géographie,Quel est le nom chinois du fleuve Jaune ?,Le Huang He,2,Asie
899,Divertissement,"Quel personnage à lunettes, bonnet et pull rayé rouge et blanc faut-il retrouver dans des foules dessinées ?",Charlie,1,Culture pop
899,Histoire,Quelle dernière favorite de Louis XV est guillotinée en 1793 ?,Madame du Barry,2,Louis XV
899,Arts & Littérature,Quel dramaturge norvégien a écrit « Une maison de poupée » ?,Henrik Ibsen,2,Littérature nordique
899,Sciences & Nature,Quel physicien britannique a découvert le neutron en 1932 ?,James Chadwick,3,Physique
899,Sports & Loisirs,"Quelle pâtisserie en forme de roue, créée en 1910, rend hommage à une course cycliste ?",Le paris-brest,1,Pâtisserie
900,Géographie,Quel nom portait la république démocratique du Congo de 1971 à 1997 ?,Le Zaïre,1,Pays
900,Divertissement,Quel film d'Alfonso Cuarón (2013) montre Sandra Bullock et George Clooney dérivant dans l'espace ?,Gravity,2,Science-fiction
900,Histoire,"Quel roi germanique, futur empereur, dut s'humilier devant le pape Grégoire VII à Canossa en 1077 ?",Henri IV,2,Saint-Empire et Europe centrale
900,Arts & Littérature,Quel musée londonien d'art moderne occupe une ancienne centrale électrique au bord de la Tamise ?,La Tate Modern,2,Musées
900,Sciences & Nature,"Quel poisson d'Amazonie, qui n'est pas une véritable anguille, peut produire des décharges de plusieurs centaines de volts ?",L'anguille électrique (gymnote),2,Poissons et animaux marins
900,Sports & Loisirs,En quel temps Usain Bolt a-t-il couru le 100 m lors des championnats du monde de Berlin en 2009 ?,9 s 58,2,Athlétisme
901,Géographie,De quelle ville du Pas-de-Calais les Audomarois sont-ils les habitants ?,Saint-Omer,3,Gentilés
901,Divertissement,Quel rappeur français a connu le succès avec « Bouge de là » au début des années 1990 ?,MC Solaar,1,Rap français
901,Histoire,Quel nom porte le régime de ségrégation raciale institué en Afrique du Sud à partir de 1948 ?,L'apartheid,1,Afrique du Sud
901,Arts & Littérature,Quel poète sétois a écrit « Le Cimetière marin » ?,Paul Valéry,2,Poésie
901,Sciences & Nature,"Quel oiseau marin au bec multicolore, surnommé « perroquet de mer », niche en Bretagne sur l'archipel des Sept-Îles ?",Le macareux moine,2,Oiseaux
901,Sports & Loisirs,Quel acteur de films d'arts martiaux a fondé le jeet kune do ?,Bruce Lee,2,Arts martiaux
902,Géographie,"Quel golfe corse, avec les calanques de Piana et la réserve de Scandola, est inscrit à l'UNESCO ?",Le golfe de Porto,3,Patrimoine UNESCO
902,Divertissement,Quel chanteur a écrit et interprété « Je l'aime à mourir » en 1979 ?,Francis Cabrel,1,Chanson française
902,Histoire,Quel révolutionnaire mène l'expédition des Mille en Sicile en 1860 ?,Giuseppe Garibaldi,1,Unité italienne
902,Arts & Littérature,Quel poète américain a écrit le recueil « Feuilles d'herbe » ?,Walt Whitman,3,Littérature américaine
902,Sciences & Nature,"Comment appelle-t-on le jeune loup, nom repris par les scouts pour leurs plus jeunes membres ?",Le louveteau,1,Noms des petits
902,Sports & Loisirs,Quel mot anglais utilise-t-on au tennis pour annoncer un score de zéro ?,Love,2,Tennis – vocabulaire
903,Géographie,Quelle île de la mer d'Irlande a donné son nom à une race de chats sans queue ?,L'île de Man,2,Îles
903,Divertissement,Quel opéra-rock d'Andrew Lloyd Webber et Tim Rice raconte les derniers jours de Jésus ?,Jesus Christ Superstar,2,Comédies musicales
903,Histoire,"Quelle princesse a trouvé la mort dans un accident de voiture sous le pont de l'Alma, à Paris, en 1997 ?",Diana,1,Personnalités
903,Arts & Littérature,Quel artiste des Nouveaux Réalistes est connu pour ses « Accumulations » d'objets identiques ?,Arman,3,Art contemporain
903,Sciences & Nature,"Quelle maladie, due à une bactérie présente dans la terre, provoque de violentes contractures musculaires et justifie un rappel vaccinal ?",Le tétanos,1,Maladies
903,Sports & Loisirs,Quelle ville de Lorraine est célèbre pour les macarons des « Sœurs » ?,Nancy,2,Pâtisserie
904,Géographie,"Quelle place de Bruxelles, bordée de maisons de corporations, est inscrite à l'UNESCO depuis 1998 ?",La Grand-Place,1,Belgique
904,Divertissement,Quel groupe moldave a chanté « Dragostea din tei » en 2003 ?,O-Zone,3,Pop européenne
904,Histoire,Quel roi d'Angleterre rompt avec Rome pour pouvoir divorcer de Catherine d'Aragon ?,Henri VIII,1,Angleterre Tudor
904,Arts & Littérature,"Quel héros castillan, Rodrigo Díaz de Vivar, est célébré par la plus ancienne épopée espagnole ?",Le Cid,2,Épopées médiévales
904,Sciences & Nature,Quelle maladie neurodégénérative marquée par des tremblements porte le nom d'un médecin anglais qui la décrivit en 1817 ?,La maladie de Parkinson,1,Maladies
904,Sports & Loisirs,"Quel fromage bleu anglais, traditionnellement servi à Noël avec du porto, porte le nom d'un village du Cambridgeshire ?",Le stilton,3,Fromages
905,Géographie,"Quels primates endémiques, comme le maki catta, sont emblématiques de Madagascar ?",Les lémuriens,1,Îles
905,Divertissement,Avec quel rappeur Booba formait-il le duo Lunatic ?,Ali,3,Rap français
905,Histoire,Quel oppidum arverne vit Vercingétorix repousser l'assaut de César en 52 av. J.-C. ?,Gergovie,2,Gaule
905,Arts & Littérature,Quel philosophe allemand a écrit « Ainsi parlait Zarathoustra » ?,Friedrich Nietzsche,1,Philosophie moderne
905,Sciences & Nature,"Selon la mythologie grecque, quel arbre la déesse Athéna offrit-elle à la ville d'Athènes ?",L'olivier,1,Arbres
905,Sports & Loisirs,Dans quelle ville alsacienne est née la marque de fils à broder DMC ?,Mulhouse,3,Loisirs créatifs
906,Géographie,Quel isthme relie l'Amérique du Nord et l'Amérique du Sud ?,L'isthme de Panama,1,Détroits et canaux
906,Divertissement,"Quel cinéaste a adapté en 2017 le roman « Au revoir là-haut » de Pierre Lemaitre, tout en y jouant ?",Albert Dupontel,3,Réalisateurs
906,Histoire,"Qui fut le premier socialiste à diriger un gouvernement français, en juin 1936 ?",Léon Blum,1,France de l'entre-deux-guerres
906,Arts & Littérature,"Quelle romancière, morte à Auschwitz, est l'autrice de « Suite française », publiée seulement en 2004 ?",Irène Némirovsky,3,Auteurs
906,Sciences & Nature,Quel protocole international de 1997 fixait pour la première fois des objectifs chiffrés de réduction des gaz à effet de serre ?,Le protocole de Kyoto,1,Écologie
906,Sports & Loisirs,"Quelle discipline équestre combine sur plusieurs jours dressage, cross et saut d'obstacles ?",Le concours complet,2,Équitation
907,Géographie,Quelles sont les trois couleurs du drapeau irlandais ?,"Vert, blanc, orange",1,Drapeaux
907,Divertissement,Quelle chanteuse a donné la réplique à Bonnie Tyler dans le duo « Si demain… (Turn Around) » ?,Kareen Antonn,3,Variété française
907,Histoire,Quel écrivain français de la Renaissance a créé les géants Gargantua et Pantagruel ?,François Rabelais,1,Renaissance
907,Arts & Littérature,"Quelle romancière a écrit « Ensemble, c'est tout » (2004) ?",Anna Gavalda,2,Romans contemporains
907,Sciences & Nature,Quel phénomène explique que la sirène d'une ambulance paraisse plus aiguë quand elle s'approche que quand elle s'éloigne ?,L'effet Doppler,2,Physique
907,Sports & Loisirs,Quel club italien est surnommé les « Rossoneri » en raison de ses couleurs ?,L'AC Milan,2,Football – clubs
908,Géographie,"Quel lac est bordé à la fois par l'Allemagne, l'Autriche et la Suisse ?",Le lac de Constance,1,Lacs
908,Divertissement,De quelle planète vient l'extraterrestre ALF ?,Melmac,3,Sitcoms
908,Histoire,Quel chef arverne prit la tête de la révolte gauloise contre César en 52 av. J.-C. ?,Vercingétorix,1,Gaule
908,Arts & Littérature,"Quelle déesse grecque des moissons parcourut la terre à la recherche de sa fille Perséphone, enlevée par Hadès ?",Déméter,2,Mythologie grecque
908,Sciences & Nature,Comment qualifie-t-on une solution dont le pH est supérieur à 7 ?,Basique (alcaline),2,Chimie : réactions
908,Sports & Loisirs,"Quel pays tropical a engagé une équipe de bobsleigh aux Jeux de Calgary en 1988, histoire qui a inspiré le film « Rasta Rockett » ?",La Jamaïque,1,Sports d'hiver
909,Géographie,"Quelle île tanzanienne de l'océan Indien, dont la vieille ville s'appelle Stone Town, est surnommée « l'île aux épices » ?",Zanzibar,1,Îles
909,Divertissement,"Dans « Shining » de Stanley Kubrick, quel est le nom de l'hôtel isolé où Jack Torrance devient gardien ?",L'Overlook Hotel,3,Classiques hollywoodiens
909,Histoire,Quel médecin et député a donné son nom à la machine à décapiter adoptée sous la Révolution ?,Joseph Ignace Guillotin,1,Révolution française
909,Arts & Littérature,Quel poète symboliste a écrit « Un coup de dés jamais n'abolira le hasard » ?,Stéphane Mallarmé,3,Poésie
909,Sciences & Nature,"Quelle suite de nombres commence par 0, 1, 1, 2, 3, 5, 8, 13 ?",La suite de Fibonacci,1,Mathématiques
909,Sports & Loisirs,"En escrime, quelle arme permet de toucher avec la pointe mais aussi avec le tranchant de la lame ?",Le sabre,2,Vocabulaire et règles
910,Géographie,"Quel parc national, créé en 1963 en Savoie, fut le premier parc national français ?",La Vanoise,2,Sites naturels
910,Divertissement,"Dans « Le Monde de Nemo », comment s'appelle le poisson bleu qui souffre de pertes de mémoire ?",Dory,1,Animation
910,Histoire,Quel navigateur portugais franchit le premier le cap de Bonne-Espérance en 1488 ?,Bartolomeu Dias,2,Péninsule ibérique et découvertes
910,Arts & Littérature,"Quel surnom, lié à sa chevelure et à son état ecclésiastique, portait Antonio Vivaldi ?",Le Prêtre roux,3,Musique baroque
910,Sciences & Nature,Quelle machine de chiffrement allemande de la Seconde Guerre mondiale a été percée par les Britanniques à Bletchley Park ?,Enigma,1,Informatique
910,Sports & Loisirs,Quel numéro porte traditionnellement le demi d'ouverture au rugby à XV ?,10,2,Rugby – règles
911,Géographie,Quelle ville médiévale de Dordogne est la capitale du Périgord noir ?,Sarlat-la-Canéda,2,Villes
911,Divertissement,"Comment s'appelle le petit robot nettoyeur, héros d'un film Pixar sorti en 2008 ?",WALL-E,1,Animation
911,Histoire,Quel dirigeant communiste tchécoslovaque voulait instaurer en 1968 un « socialisme à visage humain » ?,Alexander Dubček,3,Guerre froide
911,Arts & Littérature,Qui a peint « La Joconde » ?,Léonard de Vinci,1,Tableaux célèbres
911,Sciences & Nature,Quel est le seul nombre premier pair ?,2,1,Mathématiques
911,Sports & Loisirs,Quel club perpignanais de rugby à XIII évolue dans la Super League anglaise ?,Les Dragons catalans,3,Rugby – clubs
912,Géographie,Quelles sont les deux langues officielles de Malte ?,Le maltais et l'anglais,3,Langues
912,Divertissement,Quelle actrice britannique joue Hermione Granger dans la saga « Harry Potter » ?,Emma Watson,1,Sagas
912,Histoire,Quel ingénieur anglais est surnommé « le père des chemins de fer » ?,George Stephenson,2,Révolution industrielle
912,Arts & Littérature,"Quel homme d'État britannique reçut le prix Nobel de littérature en 1953, notamment pour ses écrits historiques ?",Winston Churchill,1,Prix Nobel de littérature
912,Sciences & Nature,Comment appelle-t-on l'étape où les ribosomes assemblent une protéine en lisant l'ARN messager ?,La traduction,3,Génétique
912,Sports & Loisirs,Quel jour de l'année fête-t-on la Chandeleur en mangeant des crêpes ?,Le 2 février,1,Fêtes et traditions
913,Géographie,Comment s'appelle la monnaie de la Hongrie ?,Le forint,3,Monnaies
913,Divertissement,"Quel cocktail James Bond commande-t-il « au shaker, pas à la cuillère » ?",Un (vodka) martini,1,James Bond
913,Histoire,"Quel empereur, rival de François Ier, régnait sur un empire « où le soleil ne se couche jamais » ?",Charles Quint,1,Europe au XVIe siècle
913,Arts & Littérature,"Quel peintre lorrain du XVIIe siècle est célèbre pour ses scènes éclairées à la bougie, comme « La Madeleine à la veilleuse » ?",Georges de La Tour,3,Baroque
913,Sciences & Nature,Quel inventeur américain aux plus de 1 000 brevets a mis au point une lampe à incandescence durable en 1879 ?,Thomas Edison,1,Grands scientifiques
913,Sports & Loisirs,"Quel piment rouge, bénéficiant d'une AOP, porte le nom d'un village du Pays basque ?",Le piment d'Espelette,2,Cuisine régionale
914,Géographie,Quel est le plus grand lac d'Italie ?,Le lac de Garde,2,Lacs
914,Divertissement,Quelle série sud-coréenne de 2021 fait participer des candidats endettés à des jeux d'enfants mortels ?,Squid Game,1,Séries internationales
914,Histoire,"Quelle arme, maniée par les archers anglais, fut décisive à Crécy et Azincourt ?",L'arc long (longbow),2,Guerre de Cent Ans
914,Arts & Littérature,Quel écrivain sénégalais a obtenu le prix Goncourt en 2021 pour « La Plus Secrète Mémoire des hommes » ?,Mohamed Mbougar Sarr,3,Prix Goncourt
914,Sciences & Nature,Comment s'appelle la galaxie dans laquelle se trouve le Système solaire ?,La Voie lactée,1,Astronomie : galaxies
914,Sports & Loisirs,Quelle ville a été la première à accueillir à la fois les Jeux olympiques d'été et ceux d'hiver ?,Pékin (2008 et 2022),2,Villes olympiques
915,Géographie,Quelle basilique marseillaise est surnommée « la Bonne Mère » ?,Notre-Dame-de-la-Garde,1,Monuments
915,Divertissement,"Quel seigneur maléfique, souvent sous forme de sanglier géant, est le grand méchant de la saga Zelda ?",Ganon,2,Jeux vidéo
915,Histoire,Quel explorateur islandais aurait atteint l'Amérique du Nord vers l'an 1000 ?,Leif Erikson,2,Vikings et Europe du Nord
915,Arts & Littérature,"Quelle règle du théâtre classique impose une seule action, en un seul lieu et en une seule journée ?",La règle des trois unités,2,Théâtre
915,Sciences & Nature,Quelle mission lunaire de 1970 a dû être abandonnée après l'explosion d'un réservoir d'oxygène ?,Apollo 13,1,Espace : missions
915,Sports & Loisirs,Quel rocher irlandais surmonté d'un phare a donné son nom à une célèbre course au large ?,Le Fastnet,3,Voile
916,Géographie,Quel naturaliste britannique a le premier expliqué la formation des atolls par l'enfoncement des volcans ?,Charles Darwin,3,Géographie physique
916,Divertissement,Quelle actrice incarne Holly Golightly dans « Diamants sur canapé » (1961) ?,Audrey Hepburn,1,Classiques hollywoodiens
916,Histoire,Quelle fleur fait l'objet d'une spéculation effrénée aux Provinces-Unies dans les années 1630 ?,La tulipe,1,Provinces-Unies
916,Arts & Littérature,Quelle immense épopée indienne raconte la guerre entre les Pandava et leurs cousins Kaurava ?,Le Mahabharata,2,Épopées d'Asie
916,Sciences & Nature,"Combien existe-t-il de polyèdres réguliers convexes, appelés solides de Platon ?",Cinq,3,Mathématiques
916,Sports & Loisirs,"Quel apéritif, mélange de crème de cassis et de vin blanc, porte le nom d'un chanoine maire de Dijon ?",Le kir,1,Cocktails
917,Géographie,Quel quartier historique fortifié de la capitale québécoise est inscrit à l'UNESCO depuis 1985 ?,Le Vieux-Québec,2,Québec
917,Divertissement,Quel acteur et réalisateur incarne Astérix dans « Astérix et Obélix : L'Empire du Milieu » (2023) ?,Guillaume Canet,2,Cinéma français
917,Histoire,Dans quelle ville est rédigée en 1787 la Constitution des États-Unis ?,Philadelphie,2,Indépendance américaine
917,Arts & Littérature,Quel personnage du « Cid » s'écrie « Ô rage ! ô désespoir ! ô vieillesse ennemie ! » ?,Don Diègue,2,Citations
917,Sciences & Nature,Quel trouble du comportement alimentaire se caractérise par une restriction drastique de nourriture et une peur intense de grossir ?,L'anorexie mentale,1,Psychologie
917,Sports & Loisirs,Quelle Française a remporté le simple dames de Roland-Garros en 2000 ?,Mary Pierce,2,Tennis – champions
918,Géographie,Quelles sont les deux couleurs du drapeau polonais ?,Blanc et rouge,1,Drapeaux
918,Divertissement,"Comment s'appelle le prix du meilleur album décerné au festival d'Angoulême, en forme de félin ?",Le Fauve d'or,3,BD franco-belge
918,Histoire,Quel complexe de camps situé en Pologne est devenu le symbole de l'extermination des Juifs d'Europe ?,Auschwitz-Birkenau,1,Shoah
918,Arts & Littérature,"Quel peintre normand, installé à Rome, a peint « Les Bergers d'Arcadie » ?",Nicolas Poussin,3,Classicisme
918,Sciences & Nature,Quel physicien autrichien a imaginé une expérience de pensée avec un chat à la fois mort et vivant ?,Erwin Schrödinger,1,Physique
918,Sports & Loisirs,Quel pays a organisé la Coupe du monde de football 2022 ?,Le Qatar,1,Football – Coupe du monde
919,Géographie,Quelle mer d'Asie centrale s'est en grande partie asséchée à cause de l'irrigation des champs de coton ?,La mer d'Aral,2,Océans et mers
919,Divertissement,Quelle princesse de Disney perd une pantoufle de verre en quittant le bal à minuit ?,Cendrillon,1,Animation
919,Histoire,Quelle bataille de 216 av. J.-C. vit Hannibal écraser les légions romaines en Apulie ?,Cannes,2,Rome antique
919,Arts & Littérature,Quel architecte a construit le château de Vaux-le-Vicomte pour le surintendant Fouquet ?,Louis Le Vau,3,Architectes
919,Sciences & Nature,Quelle protéine fibreuse constitue l'essentiel des cheveux et des ongles ?,La kératine,1,Peau et phanères
919,Sports & Loisirs,De quelle couleur est la zone centrale d'une cible de tir à l'arc olympique ?,Jaune (or),1,Vocabulaire et règles
920,Géographie,"Quel phare de l'estuaire de la Gironde, surnommé « le Versailles de la mer », est inscrit à l'UNESCO depuis 2021 ?",Le phare de Cordouan,3,Patrimoine UNESCO
920,Divertissement,Quel héros de série se sortait de toutes les situations grâce à son couteau suisse et à son ingéniosité ?,MacGyver,1,Séries américaines
920,Histoire,Quel monument est construit pour l'Exposition universelle de Paris de 1889 ?,La tour Eiffel,1,IIIe République
920,Arts & Littérature,Quel écrivain argentin installé à Paris a publié en 1963 le roman « Marelle » ?,Julio Cortázar,3,Littérature latino-américaine
920,Sciences & Nature,Dans quel organite des cellules végétales se déroule la photosynthèse ?,Le chloroplaste,1,Cellule
920,Sports & Loisirs,Quelle est la première propriété après la case Départ sur le plateau du Monopoly français classique ?,Le boulevard de Belleville,2,Jeux de société
921,Géographie,Quelle est la capitale de la Pologne ?,Varsovie,1,Capitales
921,Divertissement,Quel numéro désigne le héros de la série britannique « Le Prisonnier » ?,Le numéro 6,2,Séries britanniques
921,Histoire,"Quel amiral français remporte en 1781 la bataille de la baie de Chesapeake, privant les Britanniques de renforts à Yorktown ?",Le comte de Grasse,3,Indépendance américaine
921,Arts & Littérature,Quel ballet de Tchaïkovski se déroule une nuit de Noël et fait apparaître la fée Dragée ?,Casse-Noisette,1,Danse
921,Sciences & Nature,Dans quel archipel du Pacifique Darwin a-t-il observé les pinsons et tortues qui ont nourri sa théorie ?,Les Galápagos,2,Grands scientifiques
921,Sports & Loisirs,Quel pilote haut-alpin a succédé à Sébastien Loeb en remportant le championnat du monde des rallyes de 2013 à 2018 ?,Sébastien Ogier,2,Sports mécaniques
922,Géographie,"Quel détroit, large d'environ 180 km, sépare la province chinoise du Fujian de l'île qui lui fait face ?",Le détroit de Taïwan (Formose),2,Détroits et canaux
922,Divertissement,Quel acteur joue Fernand Naudin dans « Les Tontons flingueurs » (1963) ?,Lino Ventura,1,Classiques français
922,Histoire,Dans quelle capitale a été signé en avril 1951 le traité instituant la Communauté européenne du charbon et de l'acier ?,Paris,3,Construction européenne
922,Arts & Littérature,Quel animal a-t-on « dans la gorge » quand on a la voix enrouée ?,Un chat,1,Expressions
922,Sciences & Nature,"Quel oiseau marin possède la plus grande envergure du monde, pouvant dépasser 3 m ?",L'albatros hurleur,2,Oiseaux
922,Sports & Loisirs,"Au golf, comment appelle-t-on l'exploit de rentrer la balle dans le trou dès le coup de départ ?",Un trou en un (hole-in-one),1,Golf
923,Géographie,"Quel volcan mexicain, dont le nom nahuatl signifie « montagne qui fume », domine la vallée de Mexico ?",Le Popocatépetl,2,Volcans
923,Divertissement,À quelle date la Fête de la musique a-t-elle lieu chaque année en France ?,Le 21 juin,1,Festivals
923,Histoire,Quel roi d'Écosse battit les Anglais à Bannockburn en 1314 ?,Robert Bruce,3,Angleterre médiévale
923,Arts & Littérature,"Quel compositeur, cantor de Leipzig, a écrit les « Concertos brandebourgeois » ?",Jean-Sébastien Bach,1,Musique baroque
923,Sciences & Nature,"Quel homme d'affaires suisse, fondateur de la Croix-Rouge, fut colauréat du premier prix Nobel de la paix en 1901 ?",Henry Dunant,2,Santé publique
923,Sports & Loisirs,Quel style de lutte olympique interdit toute prise en dessous de la ceinture ?,La lutte gréco-romaine,2,Arts martiaux
924,Géographie,Quel ingénieur français a dessiné en 1791 le plan de la ville de Washington ?,Pierre Charles L'Enfant,3,Monuments et sites
924,Divertissement,Quel acteur incarne le contrebandier Han Solo dans la trilogie originale de « Star Wars » ?,Harrison Ford,1,Sagas
924,Histoire,En quelle année la Ve République a-t-elle été instaurée en France ?,1958,1,Ve République
924,Arts & Littérature,Dans quel album de Tintin le capitaine Haddock apparaît-il pour la première fois ?,Le Crabe aux pinces d'or,2,Bande dessinée
924,Sciences & Nature,"Quel arbre, dont la floraison est célébrée au Japon lors du hanami, est un symbole national ?",Le cerisier,1,Arbres
